Date,EUR,YTD
2004-11-08,0.77785,0.87344
2004-11-09,0.77417,0.87344
2004-11-10,0.77453,0.87535
2004-11-11,0.77059,0.87085
2004-11-12,0.7758,0.86979
2004-11-15,0.77393,0.85616
2004-11-16,0.7719,0.85616
2004-11-17,0.77095,0.84998
2004-11-18,0.7677,0.84731
2004-11-19,0.76781,0.84904
2004-11-22,0.76805,0.8397
2004-11-23,0.7672800000000001,0.8397
2004-11-24,0.764,0.84041
2004-11-25,0.76069,0.8458100000000001
2004-11-26,0.75683,0.84991
2004-11-29,0.7554,0.84019
2004-11-30,0.75489,0.84019
2004-12-01,0.75216,0.83375
2004-12-02,0.75222,0.8320200000000001
2004-12-03,0.7510899999999999,0.8350700000000001
2004-12-06,0.75188,0.8282299999999999
2004-12-07,0.74432,0.8282299999999999
2004-12-08,0.74316,0.82734
2004-12-09,0.75188,0.8184600000000001
2004-12-10,0.7516,0.81579
2004-12-13,0.7580899999999999,0.82055
2004-12-14,0.75369,0.82055
2004-12-15,0.75092,0.81606
2004-12-16,0.74722,0.81766
2004-12-17,0.74621,0.8104399999999999
2004-12-20,0.75392,0.8062600000000001
2004-12-21,0.7475,0.8062600000000001
2004-12-22,0.7466,0.80528
2004-12-23,0.74716,0.80425
2004-12-24,0.74316,0.80697
2004-12-27,0.73844,0.8059999999999999
2004-12-28,0.73926,0.8059999999999999
2004-12-29,0.73351,0.8059999999999999
2004-12-30,0.7348600000000001,0.80006
2004-12-31,0.7350800000000001,0.8002600000000001
2005-01-03,0.73416,0.79177
2005-01-04,0.74036,0.79177
2005-01-05,0.74822,0.7941600000000001
2005-01-06,0.7562,0.79008
2005-01-07,0.75855,0.78394
2005-01-10,0.75758,0.79151
2005-01-11,0.76318,0.79151
2005-01-12,0.7608600000000001,0.7851100000000001
2005-01-13,0.7610899999999999,0.77954
2005-01-14,0.75574,0.78438
2005-01-17,0.76388,0.79145
2005-01-18,0.76423,0.79145
2005-01-19,0.7657,0.80045
2005-01-20,0.76435,0.80821
2005-01-21,0.77304,0.7977
2005-01-24,0.7714300000000001,0.78678
2005-01-25,0.7654,0.78678
2005-01-26,0.76775,0.7879
2005-01-27,0.76894,0.79523
2005-01-28,0.7677,0.79891
2005-01-31,0.76717,0.80205
2005-02-01,0.76717,0.80205
2005-02-02,0.76764,0.8074899999999999
2005-02-03,0.76564,0.8025
2005-02-04,0.76917,0.7946
2005-02-07,0.77172,0.79472
2005-02-08,0.77857,0.79472
2005-02-09,0.78345,0.79815
2005-02-10,0.78358,0.7866
2005-02-11,0.78266,0.78345
2005-02-14,0.77791,0.78113
2005-02-15,0.7711899999999999,0.78113
2005-02-16,0.7682899999999999,0.78027
2005-02-17,0.7668699999999999,0.78487
2005-02-18,0.76681,0.77773
2005-02-21,0.76693,0.78592
2005-02-22,0.76599,0.78592
2005-02-23,0.75798,0.7897
2005-02-24,0.7574,0.7951699999999999
2005-02-25,0.75415,0.79397
2005-02-28,0.75959,0.8036
2005-03-01,0.75432,0.80528
2005-03-02,0.75666,0.80103
2005-03-03,0.7633,0.80632
2005-03-04,0.7608,0.82352
2005-03-07,0.76249,0.82325
2005-03-08,0.75775,0.82021
2005-03-09,0.7549399999999999,0.8093199999999999
2005-03-10,0.74929,0.809
2005-03-11,0.7457699999999999,0.81307
2005-03-14,0.74538,0.81593
2005-03-15,0.74783,0.81733
2005-03-16,0.74722,0.8144600000000001
2005-03-17,0.74778,0.80972
2005-03-18,0.7475,0.81626
2005-03-21,0.75307,0.8155899999999999
2005-03-22,0.75763,0.81011
2005-03-23,0.7590100000000001,0.80952
2005-03-24,0.7662800000000001,0.8146
2005-03-25,0.7703,0.81994
2005-03-28,0.7703,0.8242700000000001
2005-03-29,0.7703,0.8214899999999999
2005-03-30,0.77363,0.8252200000000001
2005-03-31,0.77262,0.82055
2005-04-01,0.77137,0.81806
2005-04-04,0.77166,0.8116899999999999
2005-04-05,0.77622,0.81182
2005-04-06,0.78064,0.8293200000000001
2005-04-07,0.7776,0.8271299999999999
2005-04-08,0.77381,0.8263799999999999
2005-04-11,0.78009,0.8267200000000001
2005-04-12,0.77095,0.8267200000000001
2005-04-13,0.77012,0.8267200000000001
2005-04-14,0.77387,0.8350700000000001
2005-04-15,0.78003,0.8386399999999999
2005-04-18,0.77712,0.83949
2005-04-19,0.7711899999999999,0.8380799999999999
2005-04-20,0.76947,0.83029
2005-04-21,0.7663399999999999,0.8385
2005-04-22,0.76581,0.84488
2005-04-25,0.7647,0.84225
2005-04-26,0.77125,0.8414
2005-04-27,0.77036,0.8438100000000001
2005-04-28,0.77399,0.84126
2005-04-29,0.77489,0.8398399999999999
2005-05-02,0.77178,0.84559
2005-05-03,0.77742,0.8370299999999999
2005-05-04,0.77785,0.8366100000000001
2005-05-05,0.7720199999999999,0.8291200000000001
2005-05-06,0.7719600000000001,0.8246700000000001
2005-05-09,0.7723800000000001,0.82535
2005-05-10,0.77979,0.82829
2005-05-11,0.7779699999999999,0.8443799999999999
2005-05-12,0.77628,0.8471700000000001
2005-05-13,0.7830199999999999,0.8433799999999999
2005-05-16,0.79145,0.8458100000000001
2005-05-17,0.79264,0.84731
2005-05-18,0.7913899999999999,0.8317399999999999
2005-05-19,0.79233,0.83452
2005-05-20,0.79101,0.8341
2005-05-23,0.7932100000000001,0.8387899999999999
2005-05-24,0.79694,0.83119
2005-05-25,0.7925800000000001,0.8355600000000001
2005-05-26,0.79592,0.8289799999999999
2005-05-27,0.7985300000000001,0.82604
2005-05-30,0.79675,0.8220299999999999
2005-05-31,0.8018,0.8165899999999999
2005-06-01,0.81096,0.81981
2005-06-02,0.8178,0.8175899999999999
2005-06-03,0.8154600000000001,0.8146
2005-06-06,0.81374,0.81793
2005-06-07,0.81486,0.81947
2005-06-08,0.8140000000000001,0.81175
2005-06-09,0.81142,0.8134
2005-06-10,0.81706,0.82257
2005-06-13,0.8177300000000001,0.8297399999999999
2005-06-14,0.82905,0.8329200000000001
2005-06-15,0.82576,0.83326
2005-06-16,0.82857,0.82981
2005-06-17,0.82542,0.8293200000000001
2005-06-20,0.8212200000000001,0.8302200000000001
2005-06-21,0.8190000000000001,0.8304299999999999
2005-06-22,0.82699,0.82563
2005-06-23,0.8257,0.82706
2005-06-24,0.82878,0.82734
2005-06-27,0.82768,0.82495
2005-06-28,0.8221,0.82386
2005-06-29,0.8267899999999999,0.81913
2005-06-30,0.8296,0.82176
2005-07-01,0.82699,0.82271
2005-07-04,0.82734,0.82183
2005-07-05,0.8407600000000001,0.8231799999999999
2005-07-06,0.84154,0.8138
2005-07-07,0.83942,0.8124100000000001
2005-07-08,0.8363299999999999,0.8092600000000001
